Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,analysis
GO_Cellular_Component_2023,Bounding Membrane Of Organelle (GO:0098588),188/819,5.810902151765786e-20,2.0977356767874488e-17,0,0,2.322318307294448,102.86004356680353,PI4K2B;KDELR1;PROS1;SPPL2A;GOLIM4;ZDHHC5;ZDHHC7;ANTXR2;GALNT10;SCAMP5;RAB43;LGALS3;GOLGA5;CREB3L3;LAMP1;ANPEP;BSG;TOM1;CHP1;LARGE1;B2M;RAB2A;GABARAPL2;SACM1L;APLP2;ATG9A;SLC30A4;CSGALNACT2;WNT5A;ENTPD7;TAP2;TAP1;ACE2;RAB30;TYROBP;RAB31;TBC1D20;MALL;KDELR2;OPTN;NAA60;COPB2;RAB5B;COPA;TSG101;TTYH1;COPB1;PDGFA;TGFA;ITPR2;VPS26A;IQGAP2;GLG1;CORO1C;SNX3;UGCG;NCSTN;RAP1A;APH1B;UBB;IRAK2;ALDH3B1;PDGFC;ST3GAL4;B4GALNT1;RIPK1;APOB;RAB6A;B4GALNT2;ATP6V0A1;LYN;HACE1;INSR;SURF4;SNF8;IGF2R;IFT20;EHD1;NAT8;TMEM115;NOSTRIN;MDM2;PI4KA;TAB3;TAB2;CALR;PI4KB;PAM;RAB5A;CNIH4;ITM2B;ITGB1;RET;ARF1;MCFD2;PLEKHF1;B4GALT1;CTSZ;WASL;AREG;AP2A2;SPPL3;HS2ST1;HYAL2;CHMP1B;PMEPA1;CD36;RAC1;TMED7;SNAP29;CTSD;CTSC;RAB8A;BOK;SLC36A1;PSENEN;ATP6V0B;MME;VPS37A;VPS37B;RHOF;ARFGAP3;RBSN;RHOD;COPZ1;RHOA;TNFRSF1A;TAPBP;RHOB;DNM2;VAMP8;CREB3;VAMP7;TMBIM1;IRF7;B3GNT3;RHOU;SEC22B;DIPK2A;B4GALT6;ATP6V0C;HBEGF;B4GALT5;CD63;RAB1A;LRP1;GOSR2;VPS4B;GOSR1;USO1;GNAI3;FURIN;ABHD17C;SGMS2;CLCN3;EGFR;TMEM165;CDC42;ARL13B;MGAT5;ORMDL3;RAB24;MGAT3;MVB12A;MGAT1;GBP2;YKT6;CD55;CYTH1;ARFGEF1;CD74;GALNT6;SLC35A3;GALNT1;PLEKHA3;ARCN1;TM6SF2;TPCN1;RAB10;CLCN5;VAPA;ABHD17A;VPS41;UBAP1;TRIP11;KRAS;COPG1;BET1,Conserved Top Villous SI markers
GO_Molecular_Function_2023,Cadherin Binding (GO:0045296),98/319,1.0455934844921164e-19,9.06529551054665e-17,0,0,3.399503079353884,148.5736915064469,TES;CTNND1;HDLBP;F11R;FNBP1L;CDH1;KIF5B;BSG;KDR;TRIM25;MB21D2;SH3GL1;CAST;SH3GLB1;IST1;ANK3;ATXN2L;TAGLN2;PKP4;EZR;PFN1;EPHA2;ZC3HAV1;PSEN1;RTN4;LDHA;PACSIN2;SFN;SNX9;S100A11;SPTBN1;MARK2;VASP;JUP;IDH1;CGN;EHD1;STK24;CHMP2B;PI4KA;EIF4G2;PICALM;ITGB1;BMPR2;DDX3X;YWHAB;PTPRJ;PTPRH;LASP1;CAPZB;EFHD2;TNKS1BP1;LRRFIP1;CLIC1;ANXA2;CEMIP2;ARHGEF16;YWHAZ;GPRC5A;PKM;CTTN;NUMB;PLIN3;MYH9;ITGA6;CDH17;CHMP5;PLEC;RAB1A;AHNAK;SRC;USO1;ASAP1;SLC3A2;EGFR;PDLIM1;LIMA1;DNAJB1;EPCAM;CTNNA1;EIF4H;EPS8L2;PDLIM5;PAK2;YKT6;WASF2;STAT1;RAB11B;RAB10;P2RX4;VAPA;VAPB;CAPZA1;ABI1;CTNNB1;ESYT2;PKN2;TJP2,Conserved Top Villous SI markers
GO_Cellular_Component_2023,Endosome Membrane (GO:0010008),104/361,1.418362606974689e-18,1.706763003726209e-16,0,0,3.104072289363603,127.56814753226456,PI4K2B;ANTXR2;SCAMP5;LAPTM4B;LAPTM4A;LAMP1;LAMP2;TOM1;B2M;SLC39A4;APLP2;ATG9A;SLC30A4;SCAMP2;RAB31;OPTN;CD274;PXK;RAB5B;RAB5C;TSG101;VPS26A;ABHD6;MTMR4;SLC30A10;CORO1C;SNX3;NCSTN;APH1B;RAP1A;UBB;IRAK2;PACSIN2;RIPK1;APOB;RAB11FIP3;RAB11FIP4;ATP6V0A1;OSBPL6;FZD7;INSR;SNF8;IGF2R;EHD1;TAB3;TAB2;RAB5A;RET;ITGB1;PLEKHF1;RNF13;CLTC;CLTA;AP2A2;CHMP1B;PMEPA1;RAC1;CTSD;RAB8A;UBXN6;BOK;PSENEN;ATP6V0B;ANXA2;STARD3NL;VPS37A;VPS37B;RBSN;RHOD;SLC39A14;RHOB;RAP2C;VAMP8;RNF167;RAP2B;VAMP7;TMBIM1;IRF7;RHOU;ATP6V0C;ARF6;VAMP3;CD63;GOSR2;VPS4B;ABHD17C;CLCN3;EGFR;TMEM165;RAB21;MVB12A;ATP9A;TMEM30A;SLC31A1;CMTM6;SNX20;RAB11A;RAB11B;TPCN1;CLCN5;ABHD17A;VPS41;UBAP1;LAMTOR1,Conserved Top Villous SI markers
GO_Cellular_Component_2023,Focal Adhesion (GO:0005925),109/387,1.326175073557218e-18,1.706763003726209e-16,0,0,3.0105637613802765,123.92754741078627,TES;PRAG1;TNC;PVR;ACTB;ACTG1;PPP1CB;PLAU;CFL1;BSG;DAG1;CAPN2;CHP1;CAPN1;TNS4;B2M;MAP2K1;MAP2K2;TPM4;ACTN2;LMO7;ACTN4;EZR;PFN1;EPHA2;GRB7;CD151;CORO1C;DPP4;NCSTN;RRAS;PCBP2;PACSIN2;VASP;JUP;ARPC5;IGF2R;TMEM98;ARPC2;FAT1;PI4KA;CALR;BCAR3;ITGB1;ARF1;ITGB5;ITGB4;YWHAB;ARPC1B;CLTC;SNAP23;GDI2;HSPB1;LIMD1;TNFSF13B;LASP1;YWHAQ;RAC2;ITGAV;ITGB6;RAC1;JAK2;GIT1;JAK1;ACTR3;ACTR2;PDCD6IP;PPP1R12A;MME;ITGA3;YWHAZ;RHOA;RHOB;DNM2;CTTN;PALLD;CAT;IRF2;ITGA8;NUMB;MYH9;ITGA6;ARHGEF2;PABPC1;ARHGEF7;ATP6V0C;ARF6;PLEC;AHNAK;LRP1;SRC;NEDD9;EGFR;CDC42;RAB21;GNA13;PDLIM1;LIMA1;IL1RL1;CTNNA1;MISP;MAPK3;RAB10;ZYX;CTNNB1;KRAS;P4HB;BCAR1;NECTIN2,Conserved Top Villous SI markers
GO_Cellular_Component_2023,Cell-Substrate Junction (GO:0030055),110/395,2.312989914400691e-18,2.0874733977466235e-16,0,0,2.9636774539269823,120.34898634179598,TES;PRAG1;TNC;PVR;ACTB;ACTG1;PPP1CB;PLAU;CFL1;BSG;DAG1;CAPN2;CHP1;CAPN1;TNS4;B2M;MAP2K1;MAP2K2;TPM4;ACTN2;LMO7;ACTN4;EZR;PFN1;EPHA2;GRB7;CD151;CORO1C;DPP4;NCSTN;RRAS;PCBP2;PACSIN2;VASP;JUP;ARPC5;IGF2R;TMEM98;ARPC2;FAT1;PI4KA;CALR;BCAR3;ITGB1;ARF1;ITGB5;ITGB4;YWHAB;ARPC1B;CLTC;SNAP23;GDI2;HSPB1;LIMD1;TNFSF13B;LASP1;YWHAQ;RAC2;ITGAV;ITGB6;RAC1;JAK2;GIT1;JAK1;ACTR3;ACTR2;PDCD6IP;PPP1R12A;MME;ITGA3;YWHAZ;RHOA;RHOB;DNM2;CTTN;PALLD;CAT;IRF2;ITGA8;NUMB;MYH9;ITGA6;ARHGEF2;PABPC1;ARHGEF7;ATP6V0C;ARF6;PLEC;AHNAK;LRP1;SRC;NEDD9;EGFR;CDC42;RAB21;GNA13;PDLIM1;LIMA1;IL1RL1;CTNNA1;MISP;MAPK3;ERBIN;RAB10;ZYX;CTNNB1;KRAS;P4HB;BCAR1;NECTIN2,Conserved Top Villous SI markers
GO_Cellular_Component_2023,Lysosome (GO:0005764),129/503,4.791680429895095e-18,3.4595932703842593e-16,0,0,2.6572681913674563,105.97092676594974,SLC46A3;SPPL2A;RNF19B;LAPTM4B;LAPTM4A;LAMP1;NAGLU;ANPEP;LAMP2;SLC26A11;ATP6V1E1;RAB2A;CUBN;ATP6V1G1;SLC30A2;PRKCD;AP5B1;HGS;RRAGD;CHMP4C;ARL8A;SIDT2;ATP6V1A;ENPEP;RAB5C;STXBP2;VPS26A;ABHD6;PSEN1;PLD1;GNS;DPP4;NCSTN;NEU1;ATP6V1H;RDH14;APOB;ATP6V1D;ATP6V0A1;LYN;CTSA;CD164;ACE;FUCA1;FUCA2;GLMP;NKG7;SYT7;MFHAS1;OCLN;TCN2;MAN2B2;CHMP2B;GNB1;PLEKHM1;TPP1;MAN2B1;ADA;LGMN;ITM2C;TINAGL1;PLEKHF1;RNF13;HEXB;CLTC;HEXA;CTSZ;CTSW;LITAF;CTSS;MFSD8;CTSL;CHMP1B;HYAL2;RB1CC1;CHMP1A;IDS;CTSD;ABCD1;CTSC;UBXN6;CTSB;SLC36A1;SRGN;HGSNAT;ATP6V0B;ANXA2;DTX3L;STARD3NL;TFEB;NRG1;SLC39A14;VAMP8;RNF167;LMBRD1;VAMP7;NPC1;DNAJC5;TMBIM1;CHMP3;ATP6V0C;CHMP5;CD63;GRN;AHNAK;LRP1;SRC;GNAI3;CLCN3;TMEM165;CLN5;GNA11;SLC17A5;LRRC8A;GPC4;DRAM2;FNIP1;RILP;CD74;GZMB;TPCN1;GALNS;TMEM59;CLCN5;P2RX4;VPS41;LAMTOR1;AGRN;CYB561,Conserved Top Villous SI markers
GO_Biological_Process_2023,Golgi Vesicle Transport (GO:0048193),69/197,1.4128705850487437e-17,6.384762173835272e-14,0,0,4.102265625,159.1610270384214,ARF4;KDELR1;PDCD6;SNAP23;MIA2;GCC2;MIA3;IER3IP1;RAB43;GOLGA4;GOLGA5;TFG;MYO18A;KIF1C;TMED7;RAB8A;TMED4;RAB2A;GABARAPL2;RBSN;COPZ1;NRBP1;SCAMP2;DNM2;TAPBP;VAMP7;TBC1D20;RP2;TRAPPC6B;KDELR2;MPPE1;SEC22B;SEC22A;ARF5;SEC22C;COPB2;RAB1A;COPA;SAR1B;COPB1;CUL3;GOSR2;ATL2;USO1;GOSR1;TEX261;SNX3;RAB6A;YKT6;ATP9A;SEC31A;BCAP31;SEC16B;SEC24A;YIPF4;SEC16A;TRAPPC4;SURF4;YIPF5;ARCN1;GOLPH3;TMEM115;VAPA;VAPB;TRIP11;COPG1;SEC24D;CNIH4;BET1,Conserved Top Villous SI markers
GO_Cellular_Component_2023,Lysosomal Membrane (GO:0005765),95/356,9.190579456464074e-15,5.529665306305886e-13,0,0,2.7803050981105755,89.86112174632078,SLC46A3;B4GALT1;PLEKHF1;RNF13;CLTC;SPPL2A;CLTA;AP2A2;LITAF;MFSD8;LAPTM4B;LAPTM4A;LAMP1;ANPEP;CHMP1B;CHMP1A;LAMP2;TOM1;SLC26A11;ATP6V1E1;CTSD;ABCD1;SNAP29;UBXN6;BORCS6;RAB2A;SLC36A1;HGSNAT;ATP6V1G1;ATP6V0B;ANXA2;STARD3NL;SLC30A2;TFEB;AP5B1;SLC39A14;VAMP8;RNF167;LMBRD1;VAMP7;NPC1;RAB37;DNAJC5;TMBIM1;CHMP4C;CHMP3;ATP6V0C;ARL8A;SIDT2;CHMP5;ATP6V1A;CD63;ENPEP;GRN;RAB5C;AHNAK;LRP1;GNAI3;ABHD6;PSEN1;PLD1;CLCN3;TMEM165;CLN5;DPP4;RAP1B;NCSTN;GNA11;SLC17A5;ATP6V1H;STOM;RDH14;LRRC8A;FNIP1;ATP6V1D;RILP;ATP6V0A1;CTSA;LYN;CD74;TMEM30A;SURF4;CMTM6;NKG7;TPCN1;OCLN;CLCN5;VNN1;P2RX4;VAPA;CHMP2B;GNB1;VPS41;LAMTOR1;CYB561,Conserved Top Villous SI markers
GO_Cellular_Component_2023,Endoplasmic Reticulum Membrane (GO:0005789),169/801,2.0021188420847423e-14,1.0325212885608457e-12,0,0,2.066190304948216,65.17174414531418,PI4K2B;AHCYL1;LPGAT1;ARL6IP1;KDELR1;TUSC3;PDCD6;PROS1;SPPL2A;PLOD1;ZFYVE1;TM7SF2;ABHD12;CREB3L3;DGAT2;DGAT1;RSAD2;SACM1L;ATG9A;DNAJB12;TAP2;TAP1;ACSL5;ACSL3;ATG13;CTDNEP1;ALDH3A2;POR;TBC1D20;SOAT2;ILVBL;KDELR2;SLC27A4;CDS1;RTN3;COPB2;COPA;RETSAT;ABHD4;SLC35D1;SAR1B;TTYH1;INSIG2;TEX264;COPB1;SEL1L;TGFA;ITPR2;UBE2J2;PLD1;RTN4;UBE2J1;CYB5R4;SGPL1;CYB5R3;UBB;AGMO;RDH16;SARAF;RDH14;APOB;RAB6A;SEC31A;OST4;ICMT;OSBPL6;SLC37A1;TOR1A;EDEM1;SEC16A;SURF4;EIF2AK3;ERLIN1;CIDEB;BFAR;ERLIN2;NAT8;RNF103;REEP3;SERINC1;CALR;DEGS2;RETREG1;CNIH4;CDS2;MCFD2;TRAM1;SRXN1;MOGAT2;MIA2;MIA3;FMN1;WASL;IER3IP1;AREG;SPPL3;HERPUD1;SPTLC2;RB1CC1;RAC2;ANXA7;RAC1;TMED7;ABCD1;BOK;PCYT1A;STARD3NL;SLC35G1;RHOC;COPZ1;RHOA;TAPBP;PIGC;LMBRD1;VAMP7;TMEM33;RDH5;TMBIM6;SEC22B;CERS2;PPP1R15A;GRAMD1C;GRAMD1B;SEC23A;SAMD8;GOSR2;ATL2;TMPRSS4;DERL1;GNAI3;AGPAT1;AGPAT2;SELENOI;CDC42;OS9;RNF139;HSD17B2;SC5D;DNAJB9;GPAT3;CEPT1;CDIPT;BCAP31;CD74;SEC24A;GALNT1;AMFR;CYP4B1;ARCN1;TMCO1;TM6SF2;VMP1;DNAJA1;RAB10;ERP44;XK;VAPA;VAPB;LPCAT3;RAB3GAP2;ESYT2;KRAS;ANKS4B;PNPLA6;COPG1;SEC24D;LPIN2;LPIN3;PNPLA2,Conserved Top Villous SI markers
GO_Biological_Process_2023,Protein Transport (GO:0015031),89/313,1.054326441620537e-15,2.3822505948416038e-12,0,0,3.0334096961152883,104.60978540733484,ARF4;ARF1;SYS1;PDCD6;CLTC;MIA2;GCC2;CD3G;MIA3;RAB22A;SCAMP5;RAB43;GOLGA4;CHMP1B;CHMP1A;LAMP2;TOM1;CD36;TMED7;ABCD1;ARL5A;RAB8A;TMED4;YWHAH;ARL14;TANGO2;LMTK2;ANK3;FAM91A1;ARFGAP3;COPZ1;SCAMP2;DNM2;ARL4D;RAB31;CTTN;SCG5;CHMP3;MYH9;PPARG;ZG16;ARHGEF2;SLU7;OPTN;ARF5;ARF6;STX12;COPB2;RAB1A;COPA;RAB5B;RAB5C;LRP1;SAR1B;MTTP;STXBP2;USO1;SEL1L;VPS26A;LTBP2;RAB21;RAB24;SNX9;APOE;STX3;APOB;SNX7;RAB6A;RILP;SPTBN1;SEC31A;CTSA;GSDMD;CD74;SURF4;CMTM6;ASPSCR1;ARCN1;RAB11B;EHD1;VMP1;RAB10;SEC23IP;GOLPH3;CHMP2B;RAB3GAP2;COPG1;RAB5A;MON1A,Conserved Top Villous SI markers
