Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,analysis
GO_Cellular_Component_2023,Mitochondrial Membrane (GO:0031966),77/540,1.6524420454896158e-17,4.808606352374783e-15,0,0,3.4376223621486672,132.8355457665552,MTCH2;MRPS16;NDUFA12;COX4I1;MPV17L2;MICOS13;MRPL34;TOMM22;IMMP2L;CHCHD3;CPT2;MPC2;ACADM;IKBKE;TMEM14C;ACSL1;MRPS23;MUL1;NDUFC2;MRPS21;SDHD;SDHA;CLPX;MRPL53;IMMP1L;SCO1;DNAJC30;CHDH;NDUFS5;VDAC3;VDAC1;TMEM126B;UQCRC2;AURKAIP1;UBA52;SLC25A4;ABCB6;NDUFB6;NDUFB10;NDUFB5;NDUFB11;MRPL18;MRPS33;NDUFB3;MRPS34;ETFDH;MRPL17;UQCR11;MIEF1;COX5B;MTLN;UQCRH;APOO;MFN1;NDUFV3;BID;NDUFV2;NDUFV1;ATAD1;DNAJC19;COA3;NDUFA8;NDUFA5;UQCC3;HSD3B2;IMMT;MRPL23;COX6C;MRPL24;MRPL30;COQ4;SLC25A37;MAVS;NDUFAB1;TOMM7;SPIRE1;BAX,Ileum-specific tip markers
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),28/85,1.992996772167539e-16,5.502664087954576e-13,0,0,9.83908557031438,355.6998869241564,NDUFB10;NDUFB6;NDUFA12;NDUFB11;NDUFB5;COX4I1;NDUFB3;ETFDH;UQCR11;ETFB;COX5B;MTLN;UQCRH;BLOC1S1;ME3;NDUFV3;NDUFV2;NDUFV1;NDUFA8;SURF1;NDUFA5;NDUFC2;SDHA;COX6C;NDUFS8;NDUFS5;NDUFAB1;UQCRC2,Ileum-specific tip markers
GO_Cellular_Component_2023,Mitochondrial Inner Membrane (GO:0005743),57/370,1.0040234552340471e-14,1.4608541273655384e-12,0,0,3.712000668211907,119.64585854974574,MRPS16;NDUFA12;COX4I1;MPV17L2;MICOS13;MRPL34;IMMP2L;CHCHD3;CPT2;MPC2;MRPS23;MRPS21;NDUFC2;SDHD;SDHA;CLPX;IMMP1L;MRPL53;SCO1;DNAJC30;CHDH;NDUFS5;TMEM126B;UQCRC2;AURKAIP1;SLC25A4;NDUFB10;NDUFB6;NDUFB11;NDUFB5;MRPL18;MRPS33;MRPS34;NDUFB3;ETFDH;MRPL17;UQCR11;COX5B;MTLN;UQCRH;APOO;NDUFV3;NDUFV2;NDUFV1;DNAJC19;COA3;NDUFA8;UQCC3;HSD3B2;NDUFA5;IMMT;MRPL23;COX6C;MRPL24;MRPL30;COQ4;NDUFAB1,Ileum-specific tip markers
GO_Cellular_Component_2023,Organelle Inner Membrane (GO:0019866),57/398,2.4286275168449133e-13,2.355768691339566e-11,0,0,3.4021045368293947,98.8184806905041,MRPS16;NDUFA12;COX4I1;MPV17L2;MICOS13;MRPL34;IMMP2L;CHCHD3;CPT2;MPC2;MRPS23;NDUFC2;MRPS21;SDHD;SDHA;CLPX;MRPL53;IMMP1L;SCO1;DNAJC30;CHDH;NDUFS5;TMEM126B;UQCRC2;AURKAIP1;SLC25A4;NDUFB6;NDUFB10;NDUFB5;NDUFB11;MRPL18;MRPS33;NDUFB3;MRPS34;ETFDH;MRPL17;UQCR11;COX5B;MTLN;UQCRH;APOO;NDUFV3;NDUFV2;NDUFV1;DNAJC19;COA3;NDUFA8;NDUFA5;UQCC3;HSD3B2;IMMT;MRPL23;COX6C;MRPL24;MRPL30;COQ4;NDUFAB1,Ileum-specific tip markers
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),23/70,1.0354965440402483e-13,1.4295029790475626e-10,0,0,9.755363847666729,291.67294236650525,NDUFA8;NDUFB10;NDUFB6;NDUFA5;UQCC3;NDUFA12;NDUFB5;COX4I1;NDUFB3;NDUFC2;UQCR11;SDHD;SDHA;COX5B;COX6C;UQCRH;NDUFS8;NDUFS5;NDUFAB1;UQCRC2;NDUFV3;NDUFV2;NDUFV1,Ileum-specific tip markers
GO_Biological_Process_2023,Aerobic Respiration (GO:0009060),21/59,2.0124717061284475e-13,1.8521447935402144e-10,0,0,10.99875868917577,321.5403791338516,NDUFA8;SURF1;NDUFB10;NDUFB6;NDUFA5;NDUFA12;NDUFB11;NDUFB5;NDUFB3;NDUFC2;CHCHD10;UQCRH;NDUFS8;BLOC1S1;NDUFS5;NDUFAB1;ME3;UQCRC2;NDUFV3;NDUFV2;NDUFV1,Ileum-specific tip markers
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),22/68,5.102586204497063e-13,3.522060127654098e-10,0,0,9.524567726629863,269.5820191017065,NDUFA8;NDUFB10;NDUFB6;NDUFA5;UQCC3;NDUFB5;COX4I1;NDUFB3;NDUFC2;UQCR11;SDHD;SDHA;COX5B;COX6C;UQCRH;NDUFS8;NDUFS5;NDUFAB1;UQCRC2;NDUFV3;NDUFV2;NDUFV1,Ileum-specific tip markers
GO_Biological_Process_2023,Oxidative Phosphorylation (GO:0006119),20/63,8.698483472139151e-12,4.80330257331524e-09,0,0,9.244855716546938,235.44680592116904,NDUFA8;NDUFB10;NDUFB6;NDUFA5;NDUFA12;NDUFB11;NDUFB5;NDUFB3;NDUFC2;CHCHD10;SDHD;SDHA;UQCRH;NDUFS8;NDUFS5;NDUFAB1;UQCRC2;NDUFV3;NDUFV2;NDUFV1,Ileum-specific tip markers
GO_Cellular_Component_2023,Mitochondrial Respiratory Chain Complex I (GO:0005747),15/41,3.612141243416106e-10,2.1022662036681745e-08,0,0,11.41766826923077,248.2378077421175,NDUFA8;NDUFB10;NDUFB6;NDUFA5;NDUFA12;NDUFB11;NDUFB5;NDUFB3;NDUFC2;NDUFS8;NDUFS5;NDUFAB1;NDUFV3;NDUFV2;NDUFV1,Ileum-specific tip markers
GO_Cellular_Component_2023,Respiratory Chain Complex I (GO:0045271),15/41,3.612141243416106e-10,2.1022662036681745e-08,0,0,11.41766826923077,248.2378077421175,NDUFA8;NDUFB10;NDUFB6;NDUFA5;NDUFA12;NDUFB11;NDUFB5;NDUFB3;NDUFC2;NDUFS8;NDUFS5;NDUFAB1;NDUFV3;NDUFV2;NDUFV1,Ileum-specific tip markers
