Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,mRNA Processing (GO:0006397),170/214,5.89284250033673e-35,2.643401081797019e-31,0,0,6.327792657948637,498.7359872771394,TCERG1;RAMAC;DBR1;EIF4A3;HNRNPU;HNRNPR;WDR83;CWC25;CASC3;EFTUD2;PNN;ALKBH5;SNRPD2;SNRPD1;MAGOH;CWC22;PAPOLA;SNIP1;MTREX;SNRPD3;PRKACA;SNRNP35;TXNL4A;CMTR1;SRRM2;AQR;IK;SNRPN;SCAF11;METTL3;PRPF4B;CRNKL1;FBXO11;CDC40;SRRM1;PRPF4;DDX39B;PRPF3;SNRPG;SRSF2;PPIE;SNRNP27;SRSF3;GEMIN6;PPIH;SNRPE;GEMIN7;SNRPF;SRSF5;SNRNP200;SRSF6;SRSF7;SNRPA;SNRPB;SRSF9;ZCCHC8;DDX5;DHX8;RBM8A;YTHDC1;CWF19L2;SNU13;HTATSF1;RNPC3;ESS2;PRPF8;ZMAT2;RPRD1B;RPRD1A;RBM10;HEXIM1;ZRSR2;HSPA8;CPSF7;PRPF38A;CPSF6;ALYREF;CPSF3;CWC15;MAGOHB;LSM5;LSM3;LSM2;SMU1;HNRNPM;LSM8;LSM7;HNRNPK;SNW1;LSM6;SON;HNRNPF;PIN1;RNPS1;HNRNPC;ISY1;DDX46;CELF1;DDX41;PRPF19;USP39;SYNCRIP;RBM4;SART1;METTL14;RSRC1;SNRNP70;DHX15;DHX16;BCAS2;CTNNBL1;RBM5;RBM6;RBM14;NCBP1;NCBP2;BUD31;PRPF40A;TFIP11;PLRG1;KIN;SFPQ;PRPF18;HNRNPH1;SYF2;FRG1;SNRPA1;HNRNPH3;PABPC1;CACTIN;SLU7;RBM22;SF3B4;SF3B2;SF3B3;RNMT;SF3B6;DDX23;SRSF1;WBP4;U2AF1;TBRG4;U2AF1L4;U2AF2;TRA2B;TRA2A;RALY;SNRPB2;HNRNPA1;SF3B1;SRSF10;HNRNPA0;SF3A3;SF3A1;HNRNPA3;PPIL1;SF3A2;GPKOW;CDC5L;RPRD2;XAB2;SNRNP40;PHF5A;HNRNPA2B1;RBM42;PRPF31;BUD13;PPIL3;RBMX;FRA10AC1
GO_Biological_Process_2023,Gene Expression (GO:0010467),217/296,9.98074790181997e-35,2.643401081797019e-31,0,0,4.514184890959913,353.4147235856571,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;EIF4A3;HNRNPU;RPL8;RPL9;RPL6;RPL7;GLE1;RPS15;RPS14;ALKBH5;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;MAGOH;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;AGFG1;DDX17;NUP214;RPL21;RPL22;MRPS18B;DNTTIP2;MRPS18A;MRPS18C;DDX39B;SARNP;XRN2;RPL24;RPL27;RPL26;RPL29;RPL28;DHX8;MRPL18;MRPL14;MRPL12;GSPT1;MRPL11;NUP85;TSPAN5;NUP88;RPL41;MRPL27;MRPL28;MAGOHB;MRPL23;HARS2;MRPL24;HNRNPL;RPS26;SETX;RPS25;RPS28;HNRNPK;RPS27;RPS29;HNRNPF;RPL27A;AGO2;HNRNPD;RPS20;RPS21;RPS24;FARSB;RPS23;MRPS17;MRPS15;SMG1;MRPS16;FASTKD2;MRPS14;MRPS11;RPLP1;RPLP0;MRPL36;MRPL34;SMG7;MRPL35;SMG5;SMG6;MRPL41;MRPL42;SYNCRIP;XPO1;UPF2;UPF1;PABPC4;MRPS21;MRPS7;MRPL43;MRPL52;MRPL51;HNRNPH1;HNRNPH3;FYTTD1;RNASEL;MRPS33;RPL12;RPL11;NOL9;MRPL55;EXOSC7;EXOSC5;RBM15B;EXOSC10;RPS15A;EXOSC8;RPL14;RPS3;RPL13;RPL15;RPS2;EXOSC3;RPL18;RPS27A;EXOSC2;RAE1;RPL17;EXOSC1;RPL19;HNRNPA2B1;FAU;FMR1;CASC3;RPL10A;DUOXA2;KPNA4;TGM2;RPS9;RPS7;RPS8;RPS5;RPS6;THOC1;RPSA;THOC2;THOC5;THOC7;EEF1A1;PRPF4;HNRNPUL1;DKC1;DNAJB11;SRSF3;RBM8A;YTHDC1;ATXN1;TPR;EIF4EBP2;CHTOP;RBPMS;ALYREF;COPS5;NXT1;CELF2;ADAR;NXT2;CASP9;DUSP11;RBM3;RPS4X;MRPL3;RBM4;RPL7A;CASP7;CASP3;CASP4;RBM5;RBM6;NCBP1;NUP133;NCBP2;ABCC6;DDX54;RPL13A;TFIP11;RPL37A;RBMS1;NCBP3;SRBD1;FURIN;RRBP1;LMF2;HSPD1;NXF1;PABPN1;ABCF1;MBTPS1;RBM39;GZMA;GZMB;RPL35A;RPL23A;SORL1;TSPAN15;GOLPH3;MCM3AP;SNRNP40;TNIP1;RPS6KB2
GO_Biological_Process_2023,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),252/367,1.8889319359689988e-32,3.335224154942596e-29,0,0,3.607573972819494,263.521414917833,CBLC;KEAP1;UBE2L6;CCAR1;UBE2L3;PSMD8;HERC4;PSMD9;HERC3;NUB1;CDC23;RNF114;KAT5;PSMD4;PSMD2;PSMD3;TRIM25;BTRC;FBXO8;FBXO7;RNF111;FBXO9;HERC6;NHLRC3;RC3H1;ARMC8;RC3H2;RNF126;CDC34;IFI27;RNF128;KCTD10;DDIT3;CLOCK;VPS28;AGAP3;ANAPC11;RNF213;RNF216;RNF215;PCBP2;PSMF1;XBP1;ZRANB1;HACE1;NDFIP1;SIAH2;NTAN1;NPLOC4;TOLLIP;FBXL4;UBXN1;PPP1R11;FAF1;TGFB1I1;ZFAND2B;OTUD7B;HERPUD1;ANKRD9;CHMP1B;TRIM2;CHMP1A;ARIH2;UFD1;ARIH1;ELOC;UBL7;SIRT1;SIRT2;DDB1;PSMA5;RNF168;PSMA6;RNF144B;RNF167;PSMA3;PSMA1;PSMA2;PELI1;RNF166;WDR26;NEDD8;PSMA7;PCNP;PSMB6;PSMB7;SH3BGRL;PSMB5;OS9;PSMB2;PSMB3;PSMB1;SPOP;ZSWIM8;TBL1X;RNF130;UBL4A;CRBN;USP9X;SYVN1;WWP1;UBE2G1;WWP2;UBE2G2;MIB1;RNF146;SPSB3;SPSB2;PSMC5;GID4;PSMC6;PSMC3;PSMC4;NEDD4;PSMC1;GID8;PSMC2;TTC3;RLIM;CTNNB1;UBAP1;TRIP12;UBE3C;UBXN2A;UBE2D3;RNF19B;UBE2D1;UBE3B;FBXO22;MAEA;MYLIP;RNF43;AREL1;FBXW5;FBXW11;UBE4A;KCTD2;UBE4B;FBXO11;RNF40;KLHL42;RBX1;TOM1L1;TBL1XR1;CHMP4C;SQSTM1;PSMD12;VCP;TSG101;PSMD14;UBA6;CUL3;CUL1;RHOBTB3;UBR4;FBXO45;BAG6;ATXN3;COP1;SHARPIN;UBD;NAE1;KLHDC2;KLHDC3;UBE2H;UBE2I;SMURF2;UBE2B;SMURF1;UBE2C;KLHL22;BFAR;CNOT4;NSFL1C;UBE2W;APPBP2;UBE2S;CHMP2B;CHMP2A;MKRN2;UBA1;RNF186;RNF185;UBE2K;NFE2L2;RNF187;GSK3B;GSK3A;RNF11;RNF13;RNF14;USP33;TNFAIP3;ARRB1;ARRB2;TNFAIP1;TNFSF13B;GET4;DTX3L;AXIN1;VPS37C;VPS37A;AXIN2;PPP2R5C;RAD23B;PJA2;UBE2R2;CHMP3;SPOPL;CHMP6;CHMP7;CHMP5;RNF34;UHRF1;VPS4B;VPS4A;RNF8;RNF6;AMBRA1;RNF7;RCHY1;RNF4;RNF5;FBXL22;RMND5B;ZNRF1;HECTD1;RMND5A;HECTD3;KCTD21;MARVELD3;MVB12A;FEM1C;RBBP6;DCAF11;UBQLN4;RNF20;ATE1;FEM1A;FEM1B;RNF25;AMFR;USP28;FBXL14;PML;CUL4A;PINK1;APC;ASB2;TRIM31;TRIM32;TAF1
GO_Biological_Process_2023,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",146/180,4.4676345696476476e-32,5.916265078855897e-29,0,0,7.016103185460231,506.4634695578567,DBR1;EIF4A3;HNRNPU;CWC25;HNRNPR;WDR83;CASC3;EFTUD2;PNN;SNRPD2;SNRPD1;CWC22;MAGOH;SNIP1;MTREX;SNRPD3;SNRNP35;TXNL4A;SRRM2;AQR;IK;SNRPN;METTL3;PRPF4B;CRNKL1;CDC40;SRRM1;PRPF4;DDX39B;PRPF3;SNRPG;SRSF2;PPIE;SNRNP27;SRSF3;GEMIN6;PPIH;SNRPE;GEMIN7;SNRPF;SRSF5;SNRNP200;SRSF6;SRSF7;SNRPA;SNRPB;SRSF9;ZCCHC8;DDX5;DHX8;RBM8A;YTHDC1;CWF19L2;SNU13;HTATSF1;RNPC3;ESS2;PRPF8;ZMAT2;RBM10;HSPA8;ZRSR2;PRPF38A;CWC15;LSM5;MAGOHB;LSM3;LSM2;SMU1;HNRNPM;LSM8;LSM7;HNRNPK;LSM6;SNW1;HNRNPF;PIN1;RNPS1;HNRNPC;ISY1;DDX46;DDX41;PRPF19;USP39;RBM4;SART1;SYNCRIP;METTL14;RSRC1;SNRNP70;DHX15;DHX16;BCAS2;CTNNBL1;RBM5;RBM6;RBM14;NCBP1;NCBP2;BUD31;PRPF40A;TFIP11;PLRG1;HNRNPH1;SYF2;FRG1;SNRPA1;HNRNPH3;PABPC1;CACTIN;SLU7;RBM22;SF3B4;SF3B2;SF3B3;SF3B6;DDX23;SRSF1;WBP4;U2AF1;U2AF1L4;U2AF2;TRA2B;TRA2A;RALY;SNRPB2;HNRNPA1;SF3B1;SRSF10;SF3A3;HNRNPA3;PPIL1;SF3A1;SF3A2;GPKOW;CDC5L;XAB2;SNRNP40;PHF5A;HNRNPA2B1;RBM42;BUD13;PRPF31;PPIL3;RBMX;FRA10AC1
GO_Biological_Process_2023,"mRNA Splicing, Via Spliceosome (GO:0000398)",164/211,1.1359580845442292e-31,1.2034339947661562e-28,0,0,5.708850462972148,406.7707893673751,DBR1;EIF4A3;HNRNPU;HNRNPR;WDR83;CWC25;CASC3;EFTUD2;PNN;SNRPD2;SNRPD1;MAGOH;CWC22;SNIP1;MTREX;SNRPD3;SNRNP35;TXNL4A;DDX17;SRRM2;AQR;IK;SNRPN;SCAF11;METTL3;PRPF4B;CRNKL1;CDC40;SRRM1;WDR77;PRPF4;DDX39B;CLNS1A;PRPF3;SNRPG;SRSF2;PPIE;SNRNP27;SRSF3;GEMIN6;PPIH;SNRPE;GEMIN7;SNRPF;SRSF5;SNRNP200;SRSF6;SRSF7;SNRPA;SNRPB;SRSF9;ZCCHC8;DDX5;DHX8;RBM8A;DHX9;YTHDC1;DDX1;CWF19L2;SNU13;HTATSF1;RNPC3;ESS2;PRPF8;ZMAT2;RBM10;ZRSR2;HSPA8;PRPF38A;CWC15;MAGOHB;LSM5;LSM3;SRPK1;LSM2;SMU1;HNRNPM;LSM8;LSM7;HNRNPK;SNW1;LSM6;HNRNPF;RSRP1;PIN1;RNPS1;HNRNPC;CDK13;ISY1;DDX46;DDX41;PRPF19;USP39;PQBP1;SYNCRIP;RBM4;SART1;METTL14;RSRC1;SNRNP70;DHX15;DHX16;BCAS2;CTNNBL1;RBM5;RBM6;PRMT5;RBM17;RBM14;NCBP1;NCBP2;BUD31;PRPF40A;TFIP11;PLRG1;SFPQ;SCNM1;HNRNPH1;SYF2;FRG1;STRAP;SNRPA1;HNRNPH3;PABPC1;CACTIN;SLU7;RBM22;SF3B4;SF3B2;SF3B3;TSSC4;SF3B6;DDX23;SRSF1;WBP4;U2AF1;U2AF1L4;PUF60;U2AF2;TRA2B;TRA2A;RALY;SNRPB2;HNRNPA1;DCPS;SF3B1;SRSF10;SF3A3;SF3A1;HNRNPA3;PPIL1;SF3A2;GPKOW;CDC5L;XAB2;SNRNP40;PHF5A;HNRNPA2B1;RBM42;PRPF31;BUD13;PPIL3;RBMX;FRA10AC1
GO_Biological_Process_2023,Translation (GO:0006412),169/234,4.399695966804296e-26,3.88419825602706e-23,0,0,4.250386563583045,248.1616969319793,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPL8;APEH;RPL10A;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;CHCHD1;RPS13;RARS2;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;MRPS18B;MRPS18A;RPSA;GTPBP2;GTPBP1;FTSJ1;MRPS18C;TUFM;EEF1A1;LARS2;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;DAP3;MRPL18;MRPL19;MRPL16;MRPL14;MRPL12;GSPT1;MRPL11;MRPL20;EIF4EBP2;ZC3H15;RPL41;MRPL27;MRPL28;MRPL23;EEF2;HARS2;MRPL24;MRPL21;MRPL22;MRPL30;RPS26;RPS25;RPS28;RPS27;COPS5;RPS29;RPL27A;AGO2;RPS20;RPS21;RPS24;FARSB;RPS23;MRPS17;MRPS15;MRPS16;FASTKD2;MRPS14;MRPS11;RPLP1;RPLP0;MRPL38;MRPL36;MRPL34;MRPL35;FARS2;MRPL33;MRPL41;MRPL4;RPS4X;MRPL42;MRPL3;RPL7A;MRPL40;RACK1;EIF5A;MRPS26;MRPS27;MRPS24;MRPS25;PABPC4;MARS2;MRPS23;MRPL49;MRPS21;RPL13A;MRPL48;MRPL45;MRPS7;MRPL46;MRPL43;MRPL44;MRPL52;EEF1G;MRPL50;MRPS9;MRPL51;EEF1D;RPL37A;ETF1;MRPS33;RPL12;MRPS34;RPL11;SRBD1;MRPS31;RRBP1;MRPS30;MRPL54;MRPL55;RPS15A;RPL14;RPS3;RPL13;IARS2;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;ABCF1;GADD45GIP1;RWDD1;NDUFA7;RPL35A;RPL23A;TNIP1;RPS6KB2;DRG1;RPL22L1;FAU;ABCE1
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),84/93,1.1356877493654472e-25,8.59391144055539e-23,0,0,15.15574886867888,870.5066420055109,EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RACK1;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;FTSJ1;RPL37A;RPL24;ETF1;RPL27;RPL26;RPL29;RPL28;UBA52;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;ZC3H15;RPL19;RWDD1;RPL41;RPL35A;RPL23A;RPS26;RPS25;EIF3M;RPS28;RPS27;RPS29;EIF3I;RPL27A;RPL22L1;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023,RNA Processing (GO:0006396),139/183,2.8639806830706587e-25,1.89631320977816e-22,0,0,5.152606454883407,291.186233385226,TCERG1;PDCD7;HNRNPU;HNRNPR;CCAR2;ALKBH5;SNRPD2;PPP2R1A;SNRPD1;KHSRP;MAGOH;SNRPD3;PRKACA;SNRNP35;DDX17;MBNL1;SNRPN;SCAF11;METTL3;THOC1;DNTTIP2;PRPF4B;ZCRB1;FBXO11;SRRM1;PRPF4;DDX39B;HNRNPUL1;RRAGC;DKC1;PRPF3;XRN2;SNRPG;SRSF2;PPIG;SNRNP25;SNRPF;SRSF5;SRSF7;SNRPB;SRSF9;ZCCHC8;DHX8;RBM8A;CSTF3;RNPC3;PRPF8;ATXN1;ZMAT5;IVNS1ABP;ZRSR2;CPSF6;RBPMS;FUS;YJU2;LSM1;USB1;LSM5;MAGOHB;LSM3;SRPK1;HNRNPL;SETX;SMU1;HNRNPK;LSM6;SON;HNRNPF;HNRNPD;RNPS1;CDK12;HNRNPC;TUT7;CELF1;DDX47;FASTKD2;CELF2;ADAR;TENT4A;USP39;PPP1R9B;DUSP11;RBM3;RBM4;SYNCRIP;RSRC1;DHX15;DHX16;BCAS2;RBM5;RBM6;NCBP1;NCBP2;PRMT1;PABPC4;DDX54;TFIP11;KIN;SFPQ;PRPF18;SCNM1;HNRNPH1;LUC7L3;RBMS1;RP9;SNRPA1;HNRNPH3;SLU7;SF3B4;RNASEL;SF3B2;SF3B3;DDX23;SRSF1;WBP4;NOL9;U2AF1;TBRG4;EXOSC7;PPP2CA;EXOSC5;EXOSC10;PABPN1;U2AF2;EXOSC8;EXOSC3;EXOSC2;SF3B1;EXOSC1;HNRNPA0;SF3A3;RBM39;SF3A1;SF3A2;SNRNP40;HNRNPA2B1;SNRNP48;NRDE2;TARDBP
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),136/183,3.428460695726172e-23,2.017839589473503e-20,0,0,4.716576543506191,243.97598564667808,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;EEF1B2;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;SLC11A1;RPL22;RPS6;MRPS18B;MRPS18A;RPSA;GTPBP2;GTPBP1;MRPS18C;TUFM;EEF1A1;RPL24;RPL27;RPL26;RPL29;RPL28;MRPL18;MRPL14;MRPL12;GSPT1;MRPL11;ST3GAL4;EIF4EBP2;APOE;RPL41;MRPL27;MRPL28;EEF2;MRPL23;HARS2;MRPL24;RPS26;EXT2;RPS25;RPS28;COPS5;RPS27;B4GAT1;COL5A1;RPS29;RPL27A;AGO2;RPS20;RPS21;EIF4G2;RPS24;FARSB;RPS23;MRPS17;MRPS15;MRPS16;MRPS14;MRPS11;RPLP1;RPLP0;MRPL36;MRPL34;MRPL35;MRPL41;RPS4X;MRPL3;MRPL42;RPL7A;EIF5A;PABPC4;MRPS21;RPL13A;MRPS7;MRPL43;EEF1G;MRPL52;MRPL51;EEF1D;RPL37A;B4GALT5;MRPS33;RPL12;RPL11;SRBD1;RRBP1;TYMS;MRPL55;POLD3;RPS15A;POLD1;POLD2;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;ABCF1;RPL19;RPL35A;RPL23A;GOLPH3;TNIP1;RPS6KB2;FAU
GO_Biological_Process_2023,Protein Modification Process (GO:0036211),399/711,1.2884691796460965e-22,6.580107433962946e-20,0,0,2.11329678640941,106.51737962367844,GMFB;PGAP1;MAML1;GMFG;ARAF;TESK2;NAA80;DCAF1;LIPE;PPP4R1;TBK1;PPP4R2;AKT1;PRKACA;PRKACB;PRKCH;CSNK2A1;PRKCE;CSNK2A2;DAPK3;PRKCD;PRKCA;ATG14;ATG13;PRKAB1;ATG12;ADPRH;PRKD2;ALG10B;UBA52;MTMR2;MTMR3;MEAF6;RPN2;PRKDC;PDGFB;CDCA8;MTMR4;PRKCZ;MTMR6;MTMR7;PPP3R1;ST3GAL4;ST3GAL6;ATG5;CDK17;LYN;PRRT1;CDK18;CDK19;ICMT;DMPK;PLK2;PLK1;PMM2;FN1;PPP5C;CDK16;PIGS;SMG1;SETD3;PRKAG1;WDR45;TRIOBP;IKBKB;ING4;ING5;JAK2;IKBKE;JAK1;BRD2;ANXA1;RIPK3;BAZ1B;SUMF1;SDHAF2;INCENP;MMP15;PICK1;CHST4;GAS6;HCST;RNASEL;CCL11;CTDP1;EGLN3;GLYCTK;MCRS1;WWP2;HIPK1;HIPK3;HIPK2;TMEM59;COL3A1;TAOK3;TAOK1;TAOK2;PKN2;COQ8A;PKN1;CCNT1;PDCD6;UBE2D3;PARK7;FBXO22;CDC14B;PPP1CB;PPP1CC;STK10;PTAR1;PIM1;PIM3;MACROD2;NEK3;PIM2;MAP3K6;CDKL2;CSNK1G3;MAP2K1;PPTC7;IGFBP3;DYRK1A;PRPF4B;VRK1;FBXO11;FBXW2;CDC25B;RBX1;CTDNEP1;ILF3;MELK;MAPKAPK2;PHPT1;STK39;ATG101;OARD1;ABL1;MAP3K20;MAP3K21;UVRAG;NEK6;NEK7;TNK1;OGA;PTPRD;PTPRE;PTPRB;CDK6;COPS5;PTPRC;CDK5;STK24;UBLCP1;CDK4;PTPRA;STK25;COPS2;CDK1;CPE;COPS8;MAP3K13;MAP3K11;BMPR2;ST6GALNAC2;LRRK1;PTEN;PIK3CD;PTPN22;NAGPA;DUSP16;DUSP11;PPP6C;TLK2;TLK1;ILKAP;DSP;PPP1R12A;CHUK;APOA2;APOA1;WIPI1;WIPI2;RABGGTB;DDOST;PPM1A;PPM1B;NPC1;CTDSP1;DAD1;LCK;CTDSP2;BIRC5;BIRC6;PIK3C3;BECN1;PRKAA1;PRKAA2;ROCK1;PPM1M;ROCK2;PPM1H;GLRX;PPM1J;PPM1G;CSK;FYN;PTPN1;PTPN18;CDC42BPG;PTPN11;PTPN12;MTOR;BCKDK;PINK1;SNRK;CTH;MGAT4A;MGAT4B;PTPN9;PTPN6;METAP2;APP;UBE2L6;UBE2L3;RPS6KA5;PPP2R1A;OGFOD1;RPS6KA1;PDK4;KAT7;BTRC;SEPHS1;PDK2;PDK1;COG7;ALG5;ALG1;PLPP6;CDC34;CSNK2B;ULK1;TRIB1;TXK;PIK3R4;EVPL;UGCG;ST8SIA4;STK38L;RCE1;INSR;PTK6;DCLK1;SRPK1;MSRA;WNK1;ACVRL1;PTPRR;PTPRS;PTPRM;PTPRJ;PTPRH;PTPRG;PPP3CA;SERP1;MAP4K2;MANBA;PARP4;PARP1;MINK1;HCK;FAM20B;SGK3;FAM20A;SGK1;SGK2;NEDD8;PPP2CA;PPP2CB;PAK1;MAP4K5;LCMT1;PAK2;MAP4K3;MAP4K4;PAK4;UBL4A;RYK;KRT10;PPP1CA;PDP2;QPCT;NEK10;CAMK1;ENGASE;PRAG1;PLAT;JADE2;LOXL2;TGM2;FBXW11;ADAM10;PPP4R3A;PPP4R3B;PXK;UBA7;DAPP1;CSF2RB;STK4;CSF2RA;FUT4;TIMM50;GRK5;IRAK1;MAN2A2;MAN2A1;GRK6;MARK4;MARK3;MARK2;UBE2F;TGFB1;UBE2I;RHBDD1;SSH2;CLK3;CLK2;TBCK;BMP2;FER;ATG16L2;ATG16L1;UBE2S;STT3A;UBA3;MAN2B1;STT3B;BMPR1A;FGFR1;UBE2M;GSK3B;GSK3A;DYRK2;MAST2;ILK;PPP2R5E;RB1CC1;TBP;PDPK1;PPP2R5D;OXSR1;PPP2R5C;YWHAZ;TGFBR1;TGFBR2;CCNA2;FGR;LATS1;ZAP70;CREB1;LATS2;PEAK1;ATG4B;PFDN1;ATG4A;B4GALT7;ATG4D;B4GALT5;CAMK2B;CAMK2D;RNF7;ACVR1B;THBS1;AURKB;RNF2;AURKA;MAPK9;MKNK1;ERBB2;MKNK2;MAPK1;MAPK6;MAPK3;ARFGEF1;ATE1;USP25;TAF12;TAF13;LIMK2;TAF10;TAF11;PPP2R3A;CDK11B;ACVR2A;TAF8;AQP11;TAF6;TAF5;TAF3;TAF1
