group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Bottom villous SI,Ccl25,135.93004,34.60599,0.0,0.0,0.999626746294124,0.9797961384800012
Bottom villous SI,Atpif1,129.16081,59.627445,0.0,0.0,0.9999466780420178,0.9907031855261359
Bottom villous SI,Tstd1,126.66272,9.2964325,0.0,0.0,0.9520102378159326,0.7504291421713835
Bottom villous SI,Mgst1,124.53907,15.830448,0.0,0.0,0.993174789378266,0.9370794026948609
Bottom villous SI,Mtch2,124.1397,16.248297,0.0,0.0,0.9966940386050975,0.9563718118154613
Bottom villous SI,Mt1,120.45386,31.453857,0.0,0.0,0.9987202730084249,0.9775326983548284
Bottom villous SI,Reg3a,117.083984,17.053883,0.0,0.0,0.9665138103871174,0.8356955141351077
Bottom villous SI,Pccb,117.07633,5.9280667,0.0,0.0,0.9496640716647116,0.7885734250862082
Bottom villous SI,Dbi,117.01836,72.18599,0.0,0.0,1.0,0.991842501025384
Bottom villous SI,Ndufb10,116.06678,11.655347,0.0,0.0,0.9955742774874693,0.9488675203937474
Bottom villous SI,Cox6c,113.08567,58.062065,0.0,0.0,0.9999466780420178,0.9943338042504064
Bottom villous SI,Gstm3,112.37535,17.23664,0.0,0.0,0.9365468700010664,0.7299214631849185
Bottom villous SI,Oat,111.58314,16.112705,0.0,0.0,0.9957875653193985,0.9699676434398213
Bottom villous SI,Fahd1,109.885056,6.7324395,0.0,0.0,0.9855497493867975,0.8825745492108341
Bottom villous SI,Acy1,107.68305,4.424474,0.0,0.0,0.9482777007571718,0.7668808579805253
Bottom villous SI,Cox4i1,107.24034,64.19325,0.0,0.0,0.9999466780420178,0.9975694602682709
Bottom villous SI,Prpsap1,107.18533,5.4941726,0.0,0.0,0.9731790551349045,0.8743259049962783
Bottom villous SI,Cox7a1,105.9164,13.778409,0.0,0.0,0.9894955742774875,0.9219037202448769
Bottom villous SI,Ndufv3,105.73289,12.440828,0.0,0.0,0.9958408872773808,0.9496118731865895
Bottom villous SI,Fbp2,105.22868,9.860396,0.0,0.0,0.9954676335715047,0.9487611842804843
Bottom villous SI,Atp5mpl,103.26338,26.35361,0.0,0.0,0.9992001706302656,0.9786416321074298
Bottom villous SI,Ms4a18,103.04968,3.808234,0.0,0.0,0.7739682201130426,0.4293244618633125
Bottom villous SI,Ckmt1,102.392265,26.00828,0.0,0.0,0.9993601365042124,0.9799480472132343
Bottom villous SI,Atp5g1,100.58494,19.548418,0.0,0.0,0.9969606483950091,0.967582676328062
Bottom villous SI,Ndufa4,100.20585,32.607563,0.0,0.0,0.9996800682521062,0.9916905922921508
Bottom villous SI,Cox7c,100.09825,42.672596,0.0,0.0,1.0,0.9921615093651734
Bottom villous SI,Sis,99.97884,62.661163,0.0,0.0,0.9992534925882478,0.9860851600358504
Bottom villous SI,Uqcrb,98.737366,22.193605,0.0,0.0,0.9981337314706196,0.9638609123638519
Bottom villous SI,Uqcrh,98.39769,31.767685,0.0,0.0,0.999626746294124,0.98824226404776
Bottom villous SI,Cyb5a,98.33437,25.895567,0.0,0.0,0.9989868827983364,0.9691473362803628
Bottom villous SI,Ndufa5,98.23356,11.300957,0.0,0.0,0.995520955529487,0.9556274590226193
Bottom villous SI,Cops9,98.158264,6.6242585,0.0,0.0,0.9902420816892397,0.9236202889304106
Bottom villous SI,Glod5,97.72499,14.32263,0.0,0.0,0.9836301588994348,0.8950462562092695
Bottom villous SI,Coa3,97.39132,6.815198,0.0,0.0,0.982243787991895,0.8997554269394947
Bottom villous SI,Acot13,97.26637,4.4632406,0.0,0.0,0.9463047883118268,0.7937990855094259
Bottom villous SI,Plac8,96.87505,93.2396,0.0,0.0,0.9997867121680708,0.9950325844232785
Bottom villous SI,Car4,96.251335,4.886825,0.0,0.0,0.8881305321531406,0.6892251135517781
Bottom villous SI,Aprt,95.87259,10.612645,0.0,0.0,0.9956809214034339,0.956751583648544
Bottom villous SI,Casp1,95.61125,3.5841954,0.0,0.0,0.9172443212114749,0.7258351182609488
Bottom villous SI,Micos10,95.53714,14.408228,0.0,0.0,0.9976538338487789,0.970590469246077
Bottom villous SI,Krt19,95.49447,20.964792,0.0,0.0,0.998933560840354,0.9880295918212338
Bottom villous SI,Gsta1,95.405334,46.085102,0.0,0.0,0.9606483950090647,0.8263379361679503
Bottom villous SI,Ndufc2,94.807236,7.0832314,0.0,0.0,0.9741388503785859,0.8891825791064728
Bottom villous SI,Anxa13,94.11652,9.12906,0.0,0.0,0.9957342433614162,0.9504169894727248
Bottom villous SI,Maoa,94.10601,15.997993,0.0,0.0,0.9984536632185134,0.9687979461939267
Bottom villous SI,Gpx1,93.88453,16.035666,0.0,0.0,0.9944545163698411,0.9699372616931747
Bottom villous SI,Ndufb3,93.732285,8.577025,0.0,0.0,0.9916817745547617,0.9379604733476128
Bottom villous SI,Ndufb5,93.66903,8.943516,0.0,0.0,0.9915751306387971,0.9467256072551611
Bottom villous SI,Prxl2b,93.65457,6.9609227,0.0,0.0,0.9800575877146209,0.8855063877622324
Bottom villous SI,Uqcr11,93.4703,21.721434,0.0,0.0,0.999626746294124,0.9898828783666773
Bottom villous SI,Maob,93.146095,3.5285356,0.0,0.0,0.9089260957662365,0.6711175925503957
Bottom villous SI,Naca,92.88839,10.378871,0.0,0.0,0.995147701823611,0.9653192362028893
Bottom villous SI,Rpl21,92.259415,33.376396,0.0,0.0,0.9972805801429029,0.9838521016573243
Bottom villous SI,Mgst2,92.07155,7.6517477,0.0,0.0,0.9826703636557534,0.9039025353567577
Bottom villous SI,Atp5g2,91.94747,10.140004,0.0,0.0,0.9940279407059828,0.9650609913563931
Bottom villous SI,Cox7b,91.76961,27.911493,0.0,0.0,0.9995201023781594,0.9841711099971138
Bottom villous SI,Prdx1,91.54264,41.85387,0.0,0.0,1.0,0.995944036822677
Bottom villous SI,Lypd8,90.891045,29.6372,0.0,0.0,0.9986136290924603,0.985963633049264
Bottom villous SI,Mrpl51,90.87286,4.86671,0.0,0.0,0.9746720699584088,0.8959577086086679
Bottom villous SI,Calml4,90.809845,19.304428,0.0,0.0,0.9988802388823718,0.9708639049658965
Bottom villous SI,Cox7a2,90.68126,29.415705,0.0,0.0,0.999466780420177,0.9815734706588282
Bottom villous SI,Uqcrc2,89.97053,6.076604,0.0,0.0,0.9837368028153994,0.9212049400720047
