names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,region,layer
Igkc,29.265453,30.911766,2.855571684801454e-188,9.219213184381494e-184,0.991047448522829,Duodenum,Crypt SI
Igha,29.166431,56.466637,5.171124170110206e-187,8.3474871916004e-183,0.9973142345568488,Duodenum,Crypt SI
Ces2a,26.98109,5.550572,2.4637415774319443e-160,2.651396560913011e-156,0.8666069829901522,Duodenum,Crypt SI
Jchain,23.446539,7.864456,1.4338548048846551e-121,1.1573000593925272e-117,0.8460161145926589,Duodenum,Crypt SI
Cyp3a11,22.804356,6.2152395,4.150824832953401e-115,2.6801875946380112e-111,0.9391226499552372,Duodenum,Crypt SI
Gm42418,21.914404,12.9686575,1.893566621378171e-106,1.0188966395199041e-102,0.991047448522829,Duodenum,Crypt SI
Muc3,20.402277,4.550149,1.5961001567311266e-92,7.361441937152061e-89,0.9310653536257834,Duodenum,Crypt SI
Iglc1,20.215055,6.132298,7.216318357082688e-91,2.9122354769801827e-87,0.5666965085049239,Duodenum,Crypt SI
Gstm1,20.071262,5.5364537,1.3161802912155544e-89,4.721431189099352e-86,0.8379588182632051,Duodenum,Crypt SI
Rplp2,19.416222,18.041315,5.628154033984653e-84,1.817049529871945e-80,0.9829901521933752,Duodenum,Crypt SI
Sis,19.20158,10.987219,3.5899702665743224e-82,1.0536562732395636e-78,0.9874664279319606,Duodenum,Crypt SI
Slc5a1,18.832586,7.3485117,4.083306892026869e-79,1.0985796917423954e-75,0.981199641897941,Duodenum,Crypt SI
Ckb,18.4076,7.3431897,1.1416949278270252e-75,2.8353554419150395e-72,0.9883616830796778,Duodenum,Crypt SI
Atp1a1,17.858961,13.432475,2.4617619517352715e-71,5.676998900840946e-68,0.9946284691136974,Duodenum,Crypt SI
Gstm3,17.162231,6.9605083,5.091829084418047e-66,1.095931346602911e-62,0.8540734109221128,Duodenum,Crypt SI
Hsp90b1,17.024572,4.962787,5.398539505438189e-65,1.0893240495816995e-61,0.9346463742166518,Duodenum,Crypt SI
Pfn1,16.93106,4.734878,2.6555133947478416e-64,5.04313234996671e-61,0.9328558639212176,Duodenum,Crypt SI
Actb,16.892752,18.042084,5.087476267444464e-64,9.124953960802472e-61,0.9982094897045658,Duodenum,Crypt SI
Aldob,16.719799,12.546428,9.40367766585289e-63,1.5978828075897923e-59,0.9937332139659804,Duodenum,Crypt SI
Chchd2,16.588404,11.319556,8.453826300381729e-62,1.3646589105391207e-58,0.9874664279319606,Duodenum,Crypt SI
Cyp3a25,16.452612,2.7174566,8.03269954037448e-61,1.2150980624011261e-57,0.7591763652641003,Duodenum,Crypt SI
Spint2,16.450775,7.0889916,8.28005493970103e-61,1.2150980624011261e-57,0.97224709042077,Duodenum,Crypt SI
Gm10076,16.347687,3.5702558,4.5180844657062957e-60,6.342015520666424e-57,0.5980304386750224,Duodenum,Crypt SI
Cyp2c55,16.255455,2.8690686,2.043479151984583e-59,2.7489051842425937e-56,0.5604297224709042,Duodenum,Crypt SI
Tkfc,15.956322,2.7391462,2.5746414142864464e-57,3.3248919224095166e-54,0.8182632050134289,Duodenum,Crypt SI
Mgam,15.90076,5.190985,6.260134836246055e-57,7.77340204570015e-54,0.9489704565801254,Duodenum,Crypt SI
Rplp1,15.649776,38.904976,3.333872358446831e-55,3.9864470034242936e-52,0.999104744852283,Duodenum,Crypt SI
Lars2,15.567778,2.4062166,1.2052235710208055e-54,1.3896658210859537e-51,0.6132497761862131,Duodenum,Crypt SI
Arf5,15.359664,2.465829,3.0515133345952618e-53,3.3971761381864836e-50,0.8889883616830797,Duodenum,Crypt SI
P4hb,15.349956,8.816786,3.5442964851704597e-53,3.814253734124276e-50,0.9865711727842436,Duodenum,Crypt SI
Dstn,15.335819,7.6549716,4.406805957457858e-53,4.589475172146031e-50,0.9776186213070726,Duodenum,Crypt SI
Uqcrq,15.32201,12.921031,5.450541007317603e-53,5.499084888164025e-50,0.981199641897941,Duodenum,Crypt SI
Psap,15.19337,4.2015405,3.912749985157406e-52,3.827973735478995e-49,0.946284691136974,Duodenum,Crypt SI
Cox5a,15.046887,9.501129,3.6186576885835703e-51,3.4361283375270755e-48,0.9677708146821844,Duodenum,Crypt SI
Khk,14.9506855,3.172121,1.5415345056469435e-50,1.4219554718517592e-47,0.9131602506714414,Duodenum,Crypt SI
Ces2e,14.691011,7.1869264,7.36070175853646e-49,6.601118229843044e-46,0.973142345568487,Duodenum,Crypt SI
Serp1,14.43606,2.2391906,3.0689140351642847e-47,2.6778348547372683e-44,0.8379588182632051,Duodenum,Crypt SI
Cdhr5,14.43032,2.5355494,3.3353020732344855e-47,2.833690195641457e-44,0.8657117278424351,Duodenum,Crypt SI
S100g,14.365606,13.861796,8.505899954856259e-47,7.041358462629086e-44,0.9400179051029544,Duodenum,Crypt SI
Rpl35,14.343925,6.1889963,1.1628688325952586e-46,9.38580506508448e-44,0.8075201432408237,Duodenum,Crypt SI
Tpt1,14.319162,17.849644,1.6611393347492922e-46,1.3080459371312414e-43,0.9928379588182632,Duodenum,Crypt SI
Atp5g3,14.278163,10.411555,2.9939149973761034e-46,2.3013939450068452e-43,0.990152193375112,Duodenum,Crypt SI
Rpl13,14.242575,21.652052,4.985558710959846e-46,3.743227046124154e-43,0.9883616830796778,Duodenum,Crypt SI
Hspa5,14.095239,3.6033583,4.06269234505959e-45,2.981000508187474e-42,0.9310653536257834,Duodenum,Crypt SI
Pdia3,14.061128,3.3642895,6.582893179233571e-45,4.722860139812352e-42,0.8728737690241719,Duodenum,Crypt SI
Glrx5,14.056994,2.39928,6.978737278476723e-45,4.898011587730891e-42,0.7905102954341987,Duodenum,Crypt SI
Ppp1r1b,13.988247,2.7350295,1.8388931305974314e-44,1.2631630791774057e-41,0.8630259623992838,Duodenum,Crypt SI
Cps1,13.945575,7.5018644,3.347415780106324e-44,2.2514858012652639e-41,0.9507609668755596,Duodenum,Crypt SI
Cltc,13.9032955,2.6292837,6.049050935307592e-44,3.9855838662531763e-41,0.8782452999104745,Duodenum,Crypt SI
Gpx4,13.894604,5.191024,6.830027357435404e-44,4.4101486646960404e-41,0.9740376007162042,Duodenum,Crypt SI
mt-Co1,13.855999,23.828362,1.1701777704966508e-43,7.407684180487131e-41,0.9946284691136974,Duodenum,Crypt SI
Rpn1,13.815852,2.9206164,2.0451984592404127e-43,1.2697929280110907e-40,0.8531781557743957,Duodenum,Crypt SI
Rpl17,13.813687,14.163702,2.1076124967118415e-43,1.2838541406856943e-40,0.9677708146821844,Duodenum,Crypt SI
Bpnt1,13.789711,4.364441,2.9393600158763487e-43,1.751485574590464e-40,0.9516562220232766,Duodenum,Crypt SI
H2-K1,13.788629,5.0382032,2.983791438825322e-43,1.751485574590464e-40,0.9892569382273948,Duodenum,Crypt SI
Stard10,13.750253,2.171799,5.0751847440497224e-43,2.925934633243666e-40,0.7878245299910475,Duodenum,Crypt SI
Rpsa,13.742381,15.6681595,5.658389995220654e-43,3.2049319472929617e-40,0.9982094897045658,Duodenum,Crypt SI
Apoa1,13.731557,11.961324,6.5706081059766705e-43,3.6574497017492552e-40,0.991047448522829,Duodenum,Crypt SI
Ap2s1,13.723587,2.0462334,7.334534363273385e-43,4.013482066411547e-40,0.7869292748433303,Duodenum,Crypt SI
Cyp2b10,13.721947,1.9910038,7.502357239498799e-43,4.036893391286979e-40,0.7591763652641003,Duodenum,Crypt SI
Cyp4f14,13.696626,2.4527457,1.063533637610265e-42,5.6288825393848215e-40,0.8513876454789615,Duodenum,Crypt SI
Rps9,13.65005,13.090181,2.0174001056333796e-42,1.0505122969415106e-39,0.990152193375112,Duodenum,Crypt SI
Oat,13.630731,7.2165847,2.629330860539539e-42,1.3474277275003018e-39,0.9498657117278424,Duodenum,Crypt SI
Hnrnpk,13.621088,3.70881,3.000639630201608e-42,1.5136820384540454e-39,0.9328558639212176,Duodenum,Crypt SI
AY761184,13.600162,8.11616,3.995484290222507e-42,1.984526312458979e-39,0.7591763652641003,Duodenum,Crypt SI
Slc2a2,13.597866,1.8769108,4.122891825794911e-42,2.016781251451344e-39,0.7188898836168308,Duodenum,Crypt SI
Rps14,13.591404,13.122471,4.5035553302289796e-42,2.1701087139767552e-39,0.990152193375112,Duodenum,Crypt SI
Sdc4,13.573528,1.8826567,5.7486591963759e-42,2.7293450316911164e-39,0.7457475380483438,Duodenum,Crypt SI
Myo1a,13.526526,3.9950416,1.0905583180323436e-41,5.102706564880321e-39,0.9310653536257834,Duodenum,Crypt SI
Atp1b1,13.501435,6.9799824,1.533596286660065e-41,7.073165159260028e-39,0.9785138764547896,Duodenum,Crypt SI
Calm1,13.480705,5.6596923,2.0315453314827562e-41,9.237808595340955e-39,0.9677708146821844,Duodenum,Crypt SI
Ptma,13.457615,10.578137,2.77738014214151e-41,1.2453849706810922e-38,0.9874664279319606,Duodenum,Crypt SI
Actn4,13.444036,2.2503746,3.337279771628232e-41,1.4759462661235272e-38,0.8549686660698299,Duodenum,Crypt SI
Oaz1,13.425373,5.323964,4.294185122107464e-41,1.873483333341074e-38,0.9615040286481648,Duodenum,Crypt SI
Ugt2b34,13.376534,3.7584162,8.292494292559959e-41,3.5696423764706437e-38,0.9623992837958818,Duodenum,Crypt SI
Taldo1,13.309623,3.842966,2.0350635679155185e-40,8.645003590809541e-38,0.9489704565801254,Duodenum,Crypt SI
Sec61b,13.284662,4.005067,2.8413716531883886e-40,1.1913465431582742e-37,0.8549686660698299,Duodenum,Crypt SI
Cdh1,13.232216,2.7107904,5.717654151124733e-40,2.3468595096788323e-37,0.8988361683079678,Duodenum,Crypt SI
Rps15,13.231888,13.562888,5.742663814918004e-40,2.3468595096788323e-37,0.9946284691136974,Duodenum,Crypt SI
Rps2,13.230937,12.465879,5.8158086659678075e-40,2.3470422847596334e-37,0.9230080572963295,Duodenum,Crypt SI
Vapa,13.208206,2.0237305,7.867675985012607e-40,3.1359002367423705e-37,0.8379588182632051,Duodenum,Crypt SI
Rpl27a,13.190855,18.773123,9.905474110200753e-40,3.89997843472965e-37,0.9785138764547896,Duodenum,Crypt SI
Por,13.151398,1.8546708,1.670578666229749e-39,6.498148462557524e-37,0.8236347358997315,Duodenum,Crypt SI
Gsta1,13.150053,12.1344595,1.7005573801522498e-39,6.536011311692308e-37,0.945389435989257,Duodenum,Crypt SI
Srp9,13.122764,2.3549783,2.4387682794866628e-39,9.263015753320813e-37,0.7502238137869293,Duodenum,Crypt SI
Rpl12,13.115121,11.963937,2.6975071878866346e-39,1.0126630181502324e-36,0.9525514771709938,Duodenum,Crypt SI
Hspa9,13.106823,4.008209,3.0094358970391535e-39,1.1167774475391846e-36,0.9579230080572964,Duodenum,Crypt SI
Ndufab1,13.10433,3.5047476,3.109960107248236e-39,1.1409666143466966e-36,0.8299015219337511,Duodenum,Crypt SI
Canx,13.103051,3.02957,3.162833983046706e-39,1.1473269117153135e-36,0.8970456580125336,Duodenum,Crypt SI
Gpi1,13.09882,3.1279008,3.3441741856819015e-39,1.1996295953860022e-36,0.9068934646374217,Duodenum,Crypt SI
Gpx2,13.076778,6.3133025,4.4698613629080355e-39,1.5858183967196256e-36,0.9677708146821844,Duodenum,Crypt SI
Chchd10,13.057886,3.5523906,5.7296949101127166e-39,2.0106869584020547e-36,0.8397493285586393,Duodenum,Crypt SI
Mdh2,13.051654,7.8748584,6.218262761570039e-39,2.1586732608310615e-36,0.9856759176365264,Duodenum,Crypt SI
Ivns1abp,13.012787,4.2014585,1.0349820571221632e-38,3.554722948317983e-36,0.9409131602506714,Duodenum,Crypt SI
Tm9sf2,13.009736,2.475782,1.0771351952456291e-38,3.660558924053172e-36,0.8272157564905999,Duodenum,Crypt SI
Sdhd,12.994058,4.5697827,1.322261357766055e-38,4.4467924932788635e-36,0.8764547896150403,Duodenum,Crypt SI
4931406C07Rik,12.990188,1.9512432,1.3908596455383108e-38,4.629268418165398e-36,0.7072515666965085,Duodenum,Crypt SI
Hadh,12.987334,3.167276,1.4436916202111324e-38,4.756079995766981e-36,0.9194270367054611,Duodenum,Crypt SI
Hsp90ab1,12.901071,5.1606236,4.4388523010448665e-38,1.4475590559518536e-35,0.9427036705461056,Duodenum,Crypt SI
Hmgb2,12.8715515,3.7212198,6.508175945624826e-38,2.101164604044975e-35,0.8182632050134289,Duodenum,Crypt SI
Ssr3,12.862696,1.8280449,7.298649275015757e-38,2.3330385331077595e-35,0.7609668755595345,Duodenum,Crypt SI
Rbm47,12.852856,1.8066831,8.289292368858642e-38,2.6237235698882475e-35,0.8433303491495077,Duodenum,Crypt SI
Uqcrfs1,12.850625,3.765732,8.531799437382648e-38,2.674263542096105e-35,0.8934646374216652,Duodenum,Crypt SI
Aldh1a1,12.789913,3.2174454,1.8668267989829035e-37,5.795240692804139e-35,0.8657117278424351,Duodenum,Crypt SI
Epcam,12.78296,7.8380866,2.041506796500805e-37,6.277147326193189e-35,0.9856759176365264,Duodenum,Crypt SI
Ctbp1,12.772988,1.949105,2.3207013327382445e-37,7.068287030891908e-35,0.7332139659803044,Duodenum,Crypt SI
Rbm3,12.752226,3.0393777,3.02967714609381e-37,9.141413706695201e-35,0.8997314234556849,Duodenum,Crypt SI
Rps21,12.750915,16.63297,3.0811027940107955e-37,9.210500343022086e-35,0.990152193375112,Duodenum,Crypt SI
Ybx1,12.68279,2.5403388,7.366283006373355e-37,2.1818389620253557e-34,0.8460161145926589,Duodenum,Crypt SI
Txnip,12.680395,1.8870654,7.594803101448144e-37,2.2290747102750304e-34,0.7618621307072516,Duodenum,Crypt SI
Tmbim6,12.669046,4.112025,8.777485160517957e-37,2.5529829586245247e-34,0.964189794091316,Duodenum,Crypt SI
Gpd1,12.648448,2.4430099,1.1410617388178493e-36,3.2892123426548453e-34,0.8370635631154879,Duodenum,Crypt SI
Rpl7,12.634049,9.915658,1.3704047178489077e-36,3.915355426172742e-34,0.9767233661593554,Duodenum,Crypt SI
Gsr,12.527975,2.1519434,5.2485490873433184e-36,1.4863983095164827e-33,0.6974037600716204,Duodenum,Crypt SI
Ogdh,12.522629,3.1549008,5.614416822583086e-36,1.576186496670391e-33,0.8863025962399284,Duodenum,Crypt SI
Lyz1,12.514069,22.571663,6.253735218865446e-36,1.7405331167333698e-33,0.9498657117278424,Duodenum,Crypt SI
Gnb2,12.506852,3.1500802,6.848454291061296e-36,1.8897636477514012e-33,0.9068934646374217,Duodenum,Crypt SI
Pkm,12.488026,4.2374067,8.678075019563825e-36,2.3743360339543905e-33,0.9409131602506714,Duodenum,Crypt SI
